id_franq,franquicia
1,Toy Story Collection
2,Grumpy Old Men Collection
3,Father of the Bride Collection
4,James Bond Collection
5,Balto Collection
6,Ace Ventura Collection
7,Chili Palmer Collection
8,Babe Collection
9,Mortal Kombat Collection
10,Pocahontas Collection
11,The Lawnmower Man Collection
12,From Dusk Till Dawn Collection
13,The Muppet Collection
14,The Neverending Story Collection
15,Batman Collection
16,Brooklyn Cigar Store Collection
17,Casper Collection
18,Mexico Trilogy
19,Die Hard Collection
20,Teenage Apocalypse Trilogy
21,Free Willy Collection
22,Power Rangers Collection
23,The Prophecy Collection
24,Showgirls Collection
25,Species Collection
26,Under Siege Collection
27,Burnt by the Sun Trilogy
28,Before... Collection
29,Clerks Collection
30,Dumb and Dumber Collection
31,A Goofy Movie Collection
32,The Vampire Chronicles
33,Star Wars Collection
34,Nemesis Collection
35,Once were Warriors Collection
36,Poison Ivy Collection
37,Three Colors Collection
38,Swan Princess Series
39,The Santa Clause Collection
40,Tales from the Crypt Collection
41,Star Trek: The Next Generation Collection
42,The Jack Ryan Collection
43,The Crow Collection
44,The Flintstones (Live-Action) Collection
45,The Lion King Collection
46,A Nightmare on Elm Street Collection
47,The Mask Collection
48,Naked Gun Collection
49,Richie Rich Collection
50,Speed Collection
51,Timecop Collection
52,Street Fighter
53,Fear Collection
54,Highlander Collection
55,Addams Family Collection
56,Stakeout Collection
57,Beverly Hills Cop Collection
58,City Slickers Collection
59,The Endless Summer Collection
60,The Fugitive / U.S. Marshals Collection
61,Hard Target Collection
62,Hot Shots! Collection
63,House Party Collection
64,Jurassic Park Collection
65,The Karate Kid Collection
66,RoboCop Collection
67,The Secret Garden Collection
68,The Shadow Collection
69,Blade Runner Collection
70,The Brady Bunch Collection
71,Home Alone Collection
72,Aladdin Collection
73,The Terminator Collection
74,The Hannibal Lecter Anthology
75,Candyman Collection
76,Homeward Bound Collection
77,Heavy Metal Collection
78,Hellraiser Collection
79,All Dogs Go to Heaven Collection
80,Mission: Impossible Collection
81,DragonHeart Collection
82,Bloodsport Collection
83,The Apu Collection
84,Lemmy Caution Collection
85,The Visitors Collection
86,Wallace & Gromit Collection
87,The Arrival Collection
