id_peli,id_pais
862,1
8844,1
15602,1
31357,1
11862,1
949,1
11860,1
45325,1
9091,1
710,1
9087,1
12110,1
21032,1
10858,1
1408,1
524,1
5,1
9273,1
11517,1
8012,1
1710,1
9691,1
12665,1
451,1
9263,1
9909,1
63,1
78802,1
9598,1
687,1
139405,1
33689,1
9603,1
31174,1
11443,1
9312,1
577,1
11861,1
807,1
10530,1
629,1
11448,1
26441,1
97406,1
9089,1
11359,1
17182,1
2054,1
10607,1
19760,1
9536,1
11525,1
40628,1
755,1
28387,1
20927,1
36929,1
124626,1
27526,1
9623,1
400,1
146599,1
8447,1
10534,1
17414,1
2086,1
61548,1
9095,1
12158,1
9283,1
9208,1
63076,1
11062,1
13685,1
47475,1
9614,1
688,1
10874,1
197,1
103,1
43566,1
51352,1
10324,1
78406,1
55731,1
11066,1
2074,1
27793,1
32622,1
73067,1
11863,1
124636,1
9101,1
123360,1
9302,1
11000,1
249882,1
16388,1
30765,1
10474,1
30157,1
568,1
11780,1
34996,1
414,1
5894,1
1775,1
8839,1
20649,1
10329,1
8963,1
26564,1
8068,1
8512,1
1572,1
13552,1
6520,1
9073,1
10428,1
17447,1
9886,1
9482,1
19326,1
9344,1
9071,1
8973,1
2293,1
9070,1
68274,1
48787,1
34574,1
11472,1
11980,1
58372,1
10533,1
10802,1
10149,1
18402,1
9348,1
139408,1
281,1
79593,1
47939,1
9090,1
3512,1
77350,1
9560,1
9804,1
31611,1
26258,1
76,1
11017,1
37141,1
9382,1
6715,1
18256,1
2292,1
1909,1
8984,1
61813,1
4954,1
62488,1
10531,1
11929,1
8467,1
10451,1
18395,1
522,1
397,1
10525,1
27985,1
15789,1
27303,1
47867,1
72031,1
14275,1
13701,1
11777,1
628,1
87729,1
18713,1
9061,1
6071,1
11,1
9587,1
19101,1
4476,1
11008,1
47504,1
32325,1
43742,1
28313,1
3036,1
24070,1
8986,1
10510,1
17402,1
38722,1
8438,1
11593,1
1945,1
39310,1
109560,1
63105,1
241,1
9058,1
18220,1
6950,1
101,1
63020,1
2307,1
680,1
41478,1
11450,1
30304,1
12106,1
161495,1
3586,1
36357,1
28033,1
22586,1
14334,1
2636,1
2164,1
11395,1
278,1
87078,1
20306,1
27993,1
9067,1
9059,1
193,1
25066,1
46797,1
12122,1
11381,1
32636,1
95963,1
1587,1
9271,1
2064,1
48287,1
3049,1
10497,1
11382,1
9331,1
10464,1
34152,1
9495,1
29973,1
888,1
13,1
16295,1
48992,1
10879,1
10660,1
8587,1
11596,1
854,1
9359,1
23333,1
36593,1
12280,1
2788,1
10427,1
11011,1
49803,1
8987,1
1637,1
15128,1
8831,1
36955,1
10449,1
12160,1
29444,1
26352,1
39953,1
315,1
22067,1
11667,1
32502,1
28732,1
75555,1
42981,1
278939,1
291731,1
2654,1
18069,1
19092,1
2758,1
38129,1
10436,1
13595,1
46094,1
9409,1
16771,1
11041,1
306,1
14522,1
26203,1
178,1
19819,1
57834,1
4722,1
18215,1
1607,1
26391,1
117553,1
6075,1
11310,1
18658,1
9350,1
9612,1
2124,1
26261,1
19176,1
49299,1
11566,1
9571,1
9739,1
24257,1
34444,1
26141,1
50463,1
20239,1
16297,1
18551,1
1634,1
5503,1
35588,1
2087,1
41579,1
18620,1
41006,1
4916,1
2019,1
31642,1
9255,1
26271,1
2259,1
11934,1
106143,1
12475,1
9386,1
59930,1
15765,1
31643,1
6,1
329,1
10909,1
507,1
34024,1
9593,1
42580,1
22317,1
1413,1
12121,1
2246,1
10502,1
10440,1
9516,1
2320,1
83718,1
31911,1
788,1
11231,1
41588,1
9559,1
9800,1
8291,1
25557,1
22588,1
10872,1
1245,1
11858,1
7007,1
10467,1
5550,1
8005,1
2088,1
47889,1
14534,1
56583,1
424,1
35233,1
14291,1
103413,1
11236,1
11592,1
8850,1
695,1
43535,1
23210,1
858,1
867,1
78,1
13203,1
10442,1
11074,1
9607,1
17585,1
9057,1
10635,1
9479,1
11969,1
41590,1
319,1
26408,1
15139,1
11446,1
24405,1
11800,1
31504,1
17600,1
10897,1
21352,1
32562,1
9066,1
771,1
812,1
280,1
581,1
80350,1
268,1
274,1
408,1
114,1
576,1
15477,1
30528,1
7300,1
10824,1
275,1
25059,1
8766,1
23570,1
10112,1
46029,1
32308,1
340210,1
28121,1
12520,1
1592,1
19042,1
47449,1
